,0,1,2
65,"Maple, Jessie; Butler, Danielle E.",2019,https://en.wikipedia.org/wiki/Jessie_Maple
66,Free Tuition with MK Asante,2020,https://en.wikipedia.org/wiki/M._K._Asante
67,Exchange,2016,https://en.wikipedia.org/wiki/Dah%C3%A9li_Hall
68,"In 2012, Russell produced the Oscar-winning short film Curfew.",2012,https://en.wikipedia.org/wiki/Damon_Russell
69,D.E.B.S.,2003,https://en.wikipedia.org/wiki/Angela_Robinson_(filmmaker)
70,Scary Movie,2000,https://en.wikipedia.org/wiki/Keenen_Ivory_Wayans
71,More American Graffiti,1979,https://en.wikipedia.org/wiki/Kevin_Rodney_Sullivan
72,Bunker Hill,2008,https://en.wikipedia.org/wiki/Kevin_Willmott
73,"^ a b Debruge, Peter",2017,https://en.wikipedia.org/wiki/Maggie_Betts
74,Yelling to the Sky,2011,https://en.wikipedia.org/wiki/Victoria_Mahoney
75,The Mambo Kings,1992,https://en.wikipedia.org/wiki/Vondie_Curtis-Hall
76,"Eyes of the American, Samm-Art Williams playwright",1985,https://en.wikipedia.org/wiki/Seret_Scott
77,"^ Hill, Michael E.",1992,https://en.wikipedia.org/wiki/Topper_Carew
78,Love and Action in Chicago,1999,https://en.wikipedia.org/wiki/Regina_King
79,^ MUBI Special: Edward Owens: Promise & Remembrance|MUBI,0000,https://en.wikipedia.org/wiki/Edward_Owens_(filmmaker)
80,Nite Tales: The Series,2009,https://en.wikipedia.org/wiki/Deon_Taylor
81,Buck Breaking,2021,https://en.wikipedia.org/wiki/Tariq_Nasheed
82,Supremacy,2014,https://en.wikipedia.org/wiki/Deon_Taylor
83,The Italian Job,2003,https://en.wikipedia.org/wiki/F._Gary_Gray
84,One Good Cop,1991,https://en.wikipedia.org/wiki/Vondie_Curtis-Hall
85,Fabulous!: The Story of Queer Cinema,2006,https://en.wikipedia.org/wiki/Angela_Robinson_(filmmaker)
86,Pacific Blue,1999,https://en.wikipedia.org/wiki/Jo_D._Jonz
87,Broken Dreams,2011,https://en.wikipedia.org/wiki/Fathia_Absie
88,"^ a b c d ""Lynch, Shola"". Encyclopedia.com. Contemporary Black Biography. 2007. Retrieved February 8, 2016.",2007,https://en.wikipedia.org/wiki/Shola_Lynch
89,Rats: Night of Terror,1984,https://en.wikipedia.org/wiki/Geretta_Geretta
90,From Hell,2001,https://en.wikipedia.org/wiki/Hughes_brothers
91,The Book of Eli,2010,https://en.wikipedia.org/wiki/Hughes_brothers
92,Celtic Pride,1996,https://en.wikipedia.org/wiki/Damon_Wayans
93,Girlfriends,2005-2008,https://en.wikipedia.org/wiki/Prentice_Penny
94,"^ ""How Melina Matsoukas Went From Music-Video Visionary to 'Queen and Slim'"". www.yahoo.com.",0000,https://en.wikipedia.org/wiki/Melina_Matsoukas
95,The Rockford Files,1974,https://en.wikipedia.org/wiki/Michael_Schultz
96,The Devil Wears Prada,2006,https://en.wikipedia.org/wiki/George_C._Wolfe
97,Best Documentary at the Santa Cruz Film Festival,0000,https://en.wikipedia.org/wiki/Thomas_Allen_Harris
98,Fantastic Four,2005,https://en.wikipedia.org/wiki/Tim_Story
99,Southpaw,2015,https://en.wikipedia.org/wiki/Antoine_Fuqua
100,"Can I Be Your Bratwurst, Please?",1999,https://en.wikipedia.org/wiki/Vaginal_Davis
101,Crocodile Conspiracy,1986,https://en.wikipedia.org/wiki/Zeinabu_irene_Davis
102,"Award of Excellence, Communications Excellence to Black Audiences",0000,https://en.wikipedia.org/wiki/Bill_Miles
103,"""Destiny""",2010 - London International Advertising Awards - Bronze Television/Cinema/ Digital/Web/Mobile - Axe,https://en.wikipedia.org/wiki/Paul_Hunter_(director)
104,Barbershop,2005,https://en.wikipedia.org/wiki/George_Tillman_Jr.
105,"Slave Ship, LeRoi Jones playwright",1970,https://en.wikipedia.org/wiki/Seret_Scott
106,Eddie Murphy Raw,1987,https://en.wikipedia.org/wiki/Damien_Dante_Wayans
107,Fear,2022,https://en.wikipedia.org/wiki/Deon_Taylor
108,Stoney Burke,1963,https://en.wikipedia.org/wiki/Ivan_Dixon
109,Aztec Warrior,2016,https://en.wikipedia.org/wiki/Scott_Sanders_(director)
110,Undercover Brother,2002,https://en.wikipedia.org/wiki/Malcolm_D._Lee
111,Major Payne,1995,https://en.wikipedia.org/wiki/Damien_Dante_Wayans
112,Motherland,2010,https://en.wikipedia.org/wiki/M._K._Asante
113,2000: Blockbuster Entertainment Award: Favorite Action Team  for,hree,https://en.wikipedia.org/wiki/Ice_Cube
114,"^ ""Rusty Cundieff: Filmography"". IMDB. Retrieved 1 March 2015.",2015,https://en.wikipedia.org/wiki/Rusty_Cundieff
115,Nobody's Children,1920,https://en.wikipedia.org/wiki/Richard_D._Maurice
116,Deep In My Heart[2],0000,https://en.wikipedia.org/wiki/Anita_W._Addison
117,"^ Johnson, Martin L.",2020,https://en.wikipedia.org/wiki/Solomon_Sir_Jones
118,Friday After Next,2002,https://en.wikipedia.org/wiki/Kevin_Bray_(director)
119,She's Gotta Have It,1986,https://en.wikipedia.org/wiki/Reginald_Hudlin
120,Get on the Bus,1996,https://en.wikipedia.org/wiki/Reggie_Rock_Bythewood
121,"^ a b ""Ted Lange Biography",1947,https://en.wikipedia.org/wiki/Ted_Lange
122,Dirty South House Arrest,2017,https://en.wikipedia.org/wiki/Pierre_Edwards
123,Bustin' Loose,1981,https://en.wikipedia.org/wiki/Oz_Scott
124,"^ a b c Kelley, Robin D. G.",2018,https://en.wikipedia.org/wiki/Boots_Riley
125,O.C. and Stiggs,1987,https://en.wikipedia.org/wiki/Melvin_Van_Peebles
126,"^ Messer, Chris M.; Beamon, Krystal; Bell, Patricia A.",2013,https://en.wikipedia.org/wiki/Solomon_Sir_Jones
127,Discovered At Sundance,1997,https://en.wikipedia.org/wiki/Roger_Ross_Williams
128,Shadowboxer,2005,https://en.wikipedia.org/wiki/Lee_Daniels
129,I American Dream,2008,https://en.wikipedia.org/wiki/Greg_Carter_(filmmaker)
130,Traffik,2018,https://en.wikipedia.org/wiki/Deon_Taylor
131,"^ ""The birth of Christop Stokes"".",0000,https://en.wikipedia.org/wiki/Chris_Stokes_(filmmaker)
132,Michael Vick: Giving Back,2011,https://en.wikipedia.org/wiki/Greg_Carter_(filmmaker)
133,"^ Lewis, Haley. 2018, July 13. ""'The world was making my movie too on the nose': Boots Riley on his directorial debut."" CBC News.",2018,https://en.wikipedia.org/wiki/Boots_Riley
134,Tales from the QuadeaD Zone,1987,https://en.wikipedia.org/wiki/Chester_Novell_Turner
