,Name,wiki_link
204,Tajamika Paxton,/wiki/Tajamika_Paxton
205,Jordan Peele,/wiki/Jordan_Peele
206,Thomas Penick,/wiki/Thomas_Penick
207,Prentice Penny,/wiki/Prentice_Penny
208,Channing Godfrey Peoples,/wiki/Channing_Godfrey_Peoples
209,Tyler Perry,/wiki/Tyler_Perry
210,Sidney Poitier,/wiki/Sidney_Poitier
211,Patrik-Ian Polk,/wiki/Patrik-Ian_Polk
212,Sam Pollard,/wiki/Sam_Pollard_(filmmaker)
213,Dawn Porter,/wiki/Dawn_Porter_(filmmaker)
214,Deborah Pratt,/wiki/Deborah_Pratt
215,Felicia Pride,/wiki/Felicia_Pride
216,Prince,/wiki/Prince_(musician)
217,Gina Prince-Bythewood,/wiki/Gina_Prince-Bythewood
218,Richard Pryor,/wiki/Richard_Pryor
219,Kym Ragusa,/wiki/Kym_Ragusa
220,Ben Ramsey,/wiki/Ben_Ramsey_(filmmaker)
221,Peter Ramsey,/wiki/Peter_Ramsey
222,Charles Randolph-Wright,/wiki/Charles_Randolph-Wright
223,Markus Redmond,/wiki/Markus_Redmond
224,Dee Rees,/wiki/Dee_Rees
225,Omar Regan,/wiki/Omar_Regan
226,Tim Reid,/wiki/Tim_Reid
227,Franc Reyes,/wiki/Franc_Reyes_(film_director)
228,Sylvia Rhue,/wiki/Sylvia_Rhue
229,Taylor Ri'chard,/wiki/Taylor_Ri%27chard
230,Matty Rich,/wiki/Matty_Rich
231,Yoruba Richen,/wiki/Yoruba_Richen
232,Marlon Riggs,/wiki/Marlon_Riggs
233,Boots Riley,/wiki/Boots_Riley
234,Hugh A. Robertson,/wiki/Hugh_A._Robertson
235,Angela Robinson,/wiki/Angela_Robinson_(filmmaker)
236,Chris Robinson,/wiki/Chris_Robinson_(director)
237,Chris Rock,/wiki/Chris_Rock
238,Ivan Rogers,/wiki/Ivan_Rogers_(actor)
239,Cliff Roquemore,/wiki/Cliff_Roquemore
240,Craig Ross Jr.,/wiki/Craig_Ross_Jr.
241,Demetria Royals,/wiki/Demetria_Royals
242,Tim Russ,/wiki/Tim_Russ
243,Damon Russell,/wiki/Damon_Russell
244,Montae Russell,/wiki/Montae_Russell
245,Raymond St. Jacques,/wiki/Raymond_St._Jacques
246,Scott Sanders,/wiki/Scott_Sanders_(director)
247,Malik Hassan Sayeed,/wiki/Malik_Hassan_Sayeed
248,Michael Schultz,/wiki/Michael_Schultz
249,Oz Scott,/wiki/Oz_Scott
250,Seret Scott,/wiki/Seret_Scott
251,John Semper,/wiki/John_Semper
252,Jenn Shaw,/wiki/Jenn_Shaw
253,Millicent Shelton,/wiki/Millicent_Shelton
254,Justin Simien,/wiki/Justin_Simien
255,Derrick Simmons,/wiki/Derrick_Simmons_(director)
256,Diggy Simmons,/wiki/Diggy_Simmons
257,Tony Singletary,/wiki/Tony_Singletary
258,John Singleton,/wiki/John_Singleton
259,Leslie Small,/wiki/Leslie_Small
260,Bruce W. Smith,/wiki/Bruce_W._Smith
261,Safiya Songhai,/wiki/Safiya_Songhai
262,Tressie Souders,/wiki/Tressie_Souders
263,Kel Spencer,/wiki/Kel_Spencer
264,James Spooner,/wiki/James_Spooner
265,Christopher St. John,/wiki/Christopher_St._John
266,Alex Stapleton,/wiki/Alex_Stapleton
267,Nzingha Stewart,/wiki/Nzingha_Stewart
268,Chris Stokes,/wiki/Chris_Stokes_(filmmaker)
269,Charles Stone III,/wiki/Charles_Stone_III
270,Tim Story,/wiki/Tim_Story
271,Kevin Rodney Sullivan,/wiki/Kevin_Rodney_Sullivan
272,David E. Talbert,/wiki/David_E._Talbert
273,Deon Taylor,/wiki/Deon_Taylor
274,Henry E. Taylor III,/wiki/Henry_E._Taylor_III
275,Deborah A. Thomas,/wiki/Deborah_A._Thomas
276,LeSean Thomas,/wiki/LeSean_Thomas
277,George Tillman Jr.,/wiki/George_Tillman_Jr.
278,Robert Townsend,/wiki/Robert_Townsend_(actor)
279,Chester Novell Turner,/wiki/Chester_Novell_Turner
280,Aisha Tyler,/wiki/Aisha_Tyler
281,Robert Van Lierop,/wiki/Robert_Van_Lierop
282,Mario Van Peebles,/wiki/Mario_Van_Peebles
283,Melvin Van Peebles,/wiki/Melvin_Van_Peebles
284,Joseph Vásquez,/wiki/Joseph_V%C3%A1squez
285,Denzel Washington,/wiki/Denzel_Washington
286,Damien Dante Wayans,/wiki/Damien_Dante_Wayans
287,Damon Wayans,/wiki/Damon_Wayans
288,Keenen Ivory Wayans,/wiki/Keenen_Ivory_Wayans
289,Sean Weathers,/wiki/Sean_Weathers
290,Leilah Weinraub,/wiki/Leilah_Weinraub
291,Yvonne Welbon,/wiki/Yvonne_Welbon
292,Jennie Louise Touissant Welcome,/wiki/Jennie_Louise_Touissant_Welcome
293,Kanye West,/wiki/Kanye_West
294,Forest Whitaker,/wiki/Forest_Whitaker
295,Erik White,/wiki/Erik_White
296,Michael Jai White,/wiki/Michael_Jai_White
297,Rubin Whitmore II,/wiki/Rubin_Whitmore_II
298,Hype Williams,/wiki/Hype_Williams
299,Maria P. Williams,/wiki/Maria_P._Williams
300,Roger Ross Williams,/wiki/Roger_Ross_Williams
301,Fred Williamson,/wiki/Fred_Williamson
302,Allen Willis,/wiki/Allen_Willis
303,Kevin Willmott,/wiki/Kevin_Willmott
304,Tim Wilson,/wiki/Tim_Wilson_(filmmaker)
305,George C. Wolfe,/wiki/George_C._Wolfe
306,Tricia Woodgett,/wiki/Tricia_Woodgett
307,Bille Woodruff,/wiki/Bille_Woodruff
308,Fronza Woods,/wiki/Fronza_Woods
309,Tanya Wright,/wiki/Tanya_Wright
310,Phillip Youmans,/wiki/Phillip_Youmans
